clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
179270__speedenza__poem-statue-of-jupiter-voice,limiter_matched_loudness,60.63584689110151,-26.31331043541933,21.192366870224145,0.5255016452707679,0.045809519512827745,0.6543785178852923,-1.531452573517015,-1.2083390230951139,,0.1641566032927706,lufs,69.0
189635__klankbeeld__choir-amen-130525_14,original,72.08373190630032,-20.120918466304396,16.82979556683784,0.6505099534988403,0.0937053026685621,,,,,,,
189635__klankbeeld__choir-amen-130525_14,proposed,71.52242887184856,-20.70988924706829,15.637151882519746,0.531787914091279,0.0878781425473734,0.2711827669811991,-0.561303034451754,-0.5889707807638942,,,,
189635__klankbeeld__choir-amen-130525_14,gain_matched_exposure,71.52242887184855,-20.68222150075615,16.82979556683784,0.6098019297744258,0.08784135291096308,0.451691335544767,-0.5613030344517682,-0.561303034451754,0.937421366874616,1.4210854715202004e-14,laeq,
189635__klankbeeld__choir-amen-130525_14,gain_matched_loudness,71.49476112553641,-20.70988924706829,16.82979556683784,0.6078625772388362,0.08756199113432765,0.47372881998412886,-0.5889707807639013,-0.5889707807638942,0.9344400865342329,0.0,lufs,
189635__klankbeeld__choir-amen-130525_14,limiter_matched_exposure,71.39107931392034,-20.853672565180005,15.05018028477933,0.4898719051364224,0.08661109284900205,0.39939256193222494,-0.6926525923799716,-0.7327540988756098,,0.13134955792821756,laeq,78.0
189635__klankbeeld__choir-amen-130525_14,limiter_matched_loudness,71.39107931392034,-20.853672565180005,15.05018028477933,0.4898719051364224,0.08661109284900205,0.39939256193222494,-0.6926525923799716,-0.7327540988756098,,0.14378331811171563,lufs,78.0
269906__theriavirra__02_crash_loud_cymbals__snares,original,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,,,,,,,
269906__theriavirra__02_crash_loud_cymbals__snares,proposed,70.83384691800066,-19.745328252648264,19.318666948813355,0.7123011363832005,0.07704248629210633,0.32086489952639546,-0.03497521961867278,-0.027365643795700834,,,,
269906__theriavirra__02_crash_loud_cymbals__snares,gain_matched_exposure,70.83384691800065,-19.75293782847124,17.365916867403207,0.5700157267356909,0.07719532405491775,0.026349309306739652,-0.03497521961868699,-0.034975219618676334,0.9959814252031114,1.4210854715202004e-14,laeq,
