clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,matched_to,gain,match_error,match_metric,limiter_target_dba
mixed,limiter_matched_loudness,63.65493803876121,-20.88701279704272,11.895635551926869,0.5805913395710925,0.1476008218821563,4.2491370018483545,-4.909738200602227,-4.06340059231556,,,0.08014317332199283,lufs,65.25
165523__zemidlo__snare-roll-hit-crash,original,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,,,,,,,,
165523__zemidlo__snare-roll-hit-crash,proposed,62.77695251238016,-23.282053114388244,24.18466968537637,0.5132992279696997,0.03170568399626416,0.27660189074538216,-0.030822854663085764,-0.07648460137818702,,,,,
165523__zemidlo__snare-roll-hit-crash,aligned,62.402286841520436,-23.71807879970079,24.208144384278864,0.5122465558401914,0.03155526471771497,0.25989960423411884,-0.4054885255228129,-0.5125102866907341,,,,,
165523__zemidlo__snare-roll-hit-crash,gain_matched_exposure,62.77695251238016,-23.236391367673146,25.508183898421994,0.6181661623658827,0.03278657368669001,0.02934563861093521,-0.030822854663085764,-0.030822854663089316,proposed,0.9964576765998966,0.0,laeq,
165523__zemidlo__snare-roll-hit-crash,gain_matched_loudness,62.731290765665065,-23.28205311438825,25.508183898421994,0.614924987975058,0.03261466682820155,0.07281900057212334,-0.07648460137818347,-0.07648460137819413,proposed,0.9912330407340715,7.105427357601002e-15,lufs,
165523__zemidlo__snare-roll-hit-crash,aligned_gain_matched_exposure,62.40228684152044,-23.51894083910368,25.508183898421994,0.592068485424443,0.031402393412543105,0.3860550835067358,-0.4054885255228058,-0.3133723260936243,aligned,0.9543893265139053,7.105427357601002e-15,laeq,
165523__zemidlo__snare-roll-hit-crash,aligned_gain_matched_loudness,62.20314888092333,-23.718078799700805,25.508183898421994,0.5786487870128765,0.030690633439884558,0.5754871244369211,-0.6046264861199191,-0.5125102866907483,aligned,0.9327573409508616,1.4210854715202004e-14,lufs,
165523__zemidlo__snare-roll-hit-crash,limiter_matched_exposure,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,0.0,0.0,0.0,,,0.030822854663085764,laeq,84.0
165523__zemidlo__snare-roll-hit-crash,limiter_matched_loudness,62.80777536704325,-23.205568513010057,25.508183898421994,0.6203636911857445,0.032903127204121745,0.0,0.0,0.0,,,0.07648460137818702,lufs,84.0
179270__speedenza__poem-statue-of-jupiter-voice,original,62.16729946461852,-25.104971412324215,22.612838851034986,0.7067052376965423,0.05231140293840806,,,,,,,,
179270__speedenza__poem-statue-of-jupiter-voice,proposed,61.96334532479331,-26.149153832126558,25.545046774028318,0.8506639002824071,0.04492681842185952,0.48877886575779633,-0.20395413982521404,-1.0441824198023433,,,,,
179270__speedenza__poem-statue-of-jupiter-voice,aligned,61.827881246569646,-25.263456749634308,22.921105691033326,0.7205651677808842,0.05147756313148866,0.17830473948483877,-0.33941821804887695,-0.1584853373100934,,,,,
179270__speedenza__poem-statue-of-jupiter-voice,gain_matched_exposure,61.96334532479331,-25.304084533127057,22.61283885103499,0.6903043387867691,0.051097383308077185,0.20186310752074238,-0.20395413982521404,-0.19911312080284205,proposed,0.9767924474944734,0.0,laeq,
179270__speedenza__poem-statue-of-jupiter-voice,gain_matched_loudness,61.12311704481618,-26.144312813104193,22.61283885103499,0.6266559810185166,0.046386034485426025,1.0303254503260733,-1.0441824198023397,-1.0393414007799784,proposed,0.8867289325052397,0.00484101902236489,lufs,
179270__speedenza__poem-statue-of-jupiter-voice,aligned_gain_matched_exposure,61.827881246569646,-25.439548611350716,22.612838851034986,0.6796219534041945,0.05030665679823467,0.33567688170034216,-0.33941821804887695,-0.3345771990265014,aligned,0.96167668944888,0.0,laeq,
179270__speedenza__poem-statue-of-jupiter-voice,aligned_gain_matched_loudness,62.00881412730843,-25.258615730611933,22.61283885103499,0.6939274113202936,0.05136556868023322,0.15688096839802904,-0.15848533731008985,-0.15364431828771785,aligned,0.9819191571044568,0.004841019022375548,lufs,
179270__speedenza__poem-statue-of-jupiter-voice,limiter_matched_exposure,62.131878761245034,-25.12920213825523,21.816149448253,0.643405067586494,0.05220078148383829,0.026002368633275062,-0.03542070337348946,-0.02423072593101594,,,0.16853343645172458,laeq,78.0
179270__speedenza__poem-statue-of-jupiter-voice,limiter_matched_loudness,60.63584689110151,-26.31331043541933,21.192366870224145,0.5255016452707679,0.045809519512827745,0.6543785178852923,-1.531452573517015,-1.2083390230951139,,,0.1641566032927706,lufs,69.0
189635__klankbeeld__choir-amen-130525_14,original,72.08373190630032,-20.120918466304396,16.82979556683784,0.6505099534988403,0.0937053026685621,,,,,,,,
189635__klankbeeld__choir-amen-130525_14,proposed,71.52242887184856,-20.70988924706829,15.637151882519746,0.531787914091279,0.0878781425473734,0.2711827669811991,-0.561303034451754,-0.5889707807638942,,,,,
189635__klankbeeld__choir-amen-130525_14,aligned,68.91254941738794,-23.268459362497115,14.425597460660429,0.34821675032940697,0.06615608327343361,1.0146348572191466,-3.171182488912379,-3.1475408961927194,,,,,
189635__klankbeeld__choir-amen-130525_14,gain_matched_exposure,71.52242887184855,-20.68222150075615,16.82979556683784,0.6098019297744258,0.08784135291096308,0.451691335544767,-0.5613030344517682,-0.561303034451754,proposed,0.937421366874616,1.4210854715202004e-14,laeq,
189635__klankbeeld__choir-amen-130525_14,gain_matched_loudness,71.49476112553641,-20.70988924706829,16.82979556683784,0.6078625772388362,0.08756199113432765,0.47372881998412886,-0.5889707807639013,-0.5889707807638942,proposed,0.9344400865342329,0.0,lufs,
189635__klankbeeld__choir-amen-130525_14,aligned_gain_matched_exposure,68.91254941738794,-23.292100955216778,16.829795566837845,0.45153853715902514,0.06504367083613218,2.480635460650232,-3.171182488912379,-3.1711824889123825,aligned,0.6941300970575082,0.0,laeq,
189635__klankbeeld__choir-amen-130525_14,aligned_gain_matched_loudness,68.93619101010759,-23.268459362497115,16.82979556683784,0.45276922644546375,0.06522095038651633,2.4624148062968105,-3.147540896192723,-3.1475408961927194,aligned,0.6960219809246484,0.0,lufs,
189635__klankbeeld__choir-amen-130525_14,limiter_matched_exposure,71.39107931392034,-20.853672565180005,15.05018028477933,0.4898719051364224,0.08661109284900205,0.39939256193222494,-0.6926525923799716,-0.7327540988756098,,,0.13134955792821756,laeq,78.0
189635__klankbeeld__choir-amen-130525_14,limiter_matched_loudness,71.39107931392034,-20.853672565180005,15.05018028477933,0.4898719051364224,0.08661109284900205,0.39939256193222494,-0.6926525923799716,-0.7327540988756098,,,0.14378331811171563,lufs,78.0
269906__theriavirra__02_crash_loud_cymbals__snares,original,70.86882213761933,-19.717962608852563,17.365916867403207,0.5723156198615321,0.07750679089138157,,,,,,,,
269906__theriavirra__02_crash_loud_cymbals__snares,proposed,70.83384691800066,-19.745328252648264,19.318666948813355,0.7123011363832005,0.07704248629210633,0.32086489952639546,-0.03497521961867278,-0.027365643795700834,,,,,
269906__theriavirra__02_crash_loud_cymbals__snares,aligned,69.05554431424156,-21.553327421494643,19.24164100390614,0.5709035406464493,0.0622989441490909,0.8793922839113323,-1.8132778233777742,-1.83536481264208,,,,,
269906__theriavirra__02_crash_loud_cymbals__snares,gain_matched_exposure,70.83384691800065,-19.75293782847124,17.365916867403207,0.5700157267356909,0.07719532405491775,0.026349309306739652,-0.03497521961868699,-0.034975219618676334,proposed,0.9959814252031114,1.4210854715202004e-14,laeq,
269906__theriavirra__02_crash_loud_cymbals__snares,gain_matched_loudness,70.84145649382361,-19.745328252648267,17.365916867403207,0.5705153276599148,0.07726298333769659,0.020616477054686676,-0.027365643795718597,-0.027365643795704386,proposed,0.9968543717152907,3.552713678800501e-15,lufs,
269906__theriavirra__02_crash_loud_cymbals__snares,aligned_gain_matched_exposure,69.05554431424154,-21.531240432230337,17.36591686740321,0.4644850153072946,0.06290365264242269,1.3585571831284793,-1.8132778233777884,-1.8132778233777742,aligned,0.8115889190996981,1.4210854715202004e-14,laeq,
