clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref
165523__zemidlo__snare-roll-hit-crash,ablation_mid_low,62.77695251238016,-23.282053114388244,24.18466968537637,0.5132992279696997,0.03170568399626416,0.27660189074538216,-0.030822854663085764,-0.07648460137818702
165523__zemidlo__snare-roll-hit-crash,ablation_mid_high,62.80777536704325,-23.11338981645123,24.555090338579486,0.5558936247688636,0.03290312720412176,0.03523352120126465,0.0,0.09217869655882538
165523__zemidlo__snare-roll-hit-crash,ablation_full,62.77695251238016,-23.282053114388244,24.18466968537637,0.5132992279696997,0.03170568399626416,0.27660189074538216,-0.030822854663085764,-0.07648460137818702
179270__speedenza__poem-statue-of-jupiter-voice,original,62.16729946461852,-25.104971412324215,22.612838851034986,0.7067052376965423,0.05231140293840806,,,
179270__speedenza__poem-statue-of-jupiter-voice,broadband_limiter,62.131878761245034,-25.12920213825523,21.816149448253,0.643405067586494,0.05220078148383829,0.026002368633275062,-0.03542070337348946,-0.02423072593101594
179270__speedenza__poem-statue-of-jupiter-voice,ablation_crossover_only,62.16729944671073,-25.09518105671028,25.541266998589304,0.9900558990048174,0.052311402734301626,0.006688966532645761,-1.790779435850709e-08,0.009790355613933599
179270__speedenza__poem-statue-of-jupiter-voice,ablation_mid_only,62.145514198376276,-25.10423929269062,25.444670490059288,0.9782076243956989,0.05226338310657904,0.021174905455789192,-0.021785266242247303,0.0007321196335929869
179270__speedenza__poem-statue-of-jupiter-voice,ablation_mid_low,61.96334532479331,-26.149153832126558,25.545046774028318,0.8506639002824071,0.04492681842185952,0.48877886575779633,-0.20395413982521404,-1.0441824198023433
179270__speedenza__poem-statue-of-jupiter-voice,ablation_mid_high,62.145514198376276,-25.10423929269062,25.444670490059288,0.9782076243956989,0.05226338310657904,0.021174905455789192,-0.021785266242247303,0.0007321196335929869
179270__speedenza__poem-statue-of-jupiter-voice,ablation_full,61.96334532479331,-26.149153832126558,25.545046774028318,0.8506639002824071,0.04492681842185952,0.48877886575779633,-0.20395413982521404,-1.0441824198023433
189635__klankbeeld__choir-amen-130525_14,original,72.08373190630032,-20.120918466304396,16.82979556683784,0.6505099534988403,0.0937053026685621,,,
189635__klankbeeld__choir-amen-130525_14,broadband_limiter,71.39107931392034,-20.853672565180005,15.05018028477933,0.4898719051364224,0.08661109284900205,0.39939256193222494,-0.6926525923799716,-0.7327540988756098
189635__klankbeeld__choir-amen-130525_14,ablation_crossover_only,72.08373190596458,-20.120916767060866,17.286706718093622,0.6856453002172131,0.09370530262210758,0.004018481835907046,-3.3573144264664734e-10,1.6992435298845976e-06
189635__klankbeeld__choir-amen-130525_14,ablation_mid_only,71.53152235386544,-20.705575745345854,15.7531750915079,0.5404161498690793,0.08811900090830294,0.16520599664244173,-0.5522095524348742,-0.5846572790414584
189635__klankbeeld__choir-amen-130525_14,ablation_mid_low,71.52242887184856,-20.70988924706829,15.637151882519746,0.531787914091279,0.0878781425473734,0.2711827669811991,-0.561303034451754,-0.5889707807638942
189635__klankbeeld__choir-amen-130525_14,ablation_mid_high,71.53152235386544,-20.705575745345854,15.7531750915079,0.5404161498690793,0.08811900090830294,0.16520599664244173,-0.5522095524348742,-0.5846572790414584
189635__klankbeeld__choir-amen-130525_14,ablation_full,71.52242887184856,-20.70988924706829,15.637151882519746,0.531787914091279,0.0878781425473734,0.2711827669811991,-0.561303034451754,-0.5889707807638942
